"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"fitted_response",627.74,55.22,0,0,25.56,149.24,243.870967741935,"bumbu"
"no_interventions",2727.02,380.14,-2099.28,-324.92,98.88,378.84,NA,"bumbu"
