"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"aa_response",6610.46,737.94,1144.88,165.3,201.2,200.62,NA,"nyiragongo"
"aa_response_plus_vaccine",6369.74,725.5,1385.6,177.74,196.64,209.3,NA,"nyiragongo"
"fitted_response",7755.34,903.24,0,0,178.02,417.9,NA,"nyiragongo"
"no_interventions",10108.86,1474.14,-2353.52,-570.9,202.36,206.08,NA,"nyiragongo"
