"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"fitted_response",743.18,67.8,0,0,45.44,81.76,225,"kingabwa"
"no_interventions",2993.58,429.06,-2250.4,-361.26,89.3,308.42,NA,"kingabwa"
