"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"aa_response",3928.18,102.18,1533.56,509.12,94.6,128.24,NA,"alunguli"
"aa_response_plus_vaccine",3813.26,98,1648.48,513.3,89.08,126.98,NA,"alunguli"
"fitted_response",5461.74,611.3,0,0,169.94,81.62,NA,"alunguli"
"no_interventions",5919.28,870.74,-457.54,-259.44,175.48,91.84,NA,"alunguli"
