"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"aa_response",1267.72,43.88,4173.46,449.14,38.08,105.84,NA,"limete"
"aa_response_plus_vaccine",1122.16,38.76,4319.02,454.26,36.56,76.58,NA,"limete"
"fitted_response",5441.18,493.02,0,0,222.48,388.64,NA,"limete"
"no_interventions",11125.54,1589.44,-5684.36,-1096.42,282.34,253.96,NA,"limete"
