"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"aa_response",15833.56,3928.18,102.18,0,265.88,976.58,6194.34,1533.56,509.12,996193.820928779,3079.56297227397,874037.036859355,15279.1292190685,57.2046367517167,1716.76036466718,0,80785.2,915408.620928779,22044656.7917434,22044656.7917434,"alunguli"
"aa_response_plus_vaccine",15363.92,3813.26,98,3808,256.38,952.54,6663.98,1648.48,513.3,1001791.62092878,2953.74863057534,879634.836859355,15404.9435607671,57.1008152927989,1713.68563580626,7616,78767,915408.620928779,22227780.5042913,22227780.5042913,"alunguli"
"fitted_response",22027.9,5461.74,611.3,11835.6978523637,104.28,381.06,0,0,0,122156.784069424,18358.6921913425,0,0,NA,NA,23671.3957047274,31527.6,66957.7883646965,0,0,"alunguli"
"no_interventions",23868.74,5919.28,870.74,0,0,0,-1840.84,-457.54,-259.44,0,26143.541842411,-122156.784069424,-7784.84965106849,NA,NA,0,0,0,-11555117.6925333,-11555117.6925333,"alunguli"
