"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"aa_response",2065.2,90.72,13484.7,1770.64,82.32,65.1,NA,"kirotshe"
"aa_response_plus_vaccine",1857.46,86.26,13692.44,1775.1,82.56,65.24,470.4,"kirotshe"
"fitted_response",15549.9,1861.36,0,0,389.86,417.34,NA,"kirotshe"
"no_interventions",20499.28,2973.46,-4949.38,-1112.1,402.74,250.18,NA,"kirotshe"
