"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"aa_response",3149.5,87.82,924.9,335.66,118.52,55.86,NA,"opala"
"aa_response_plus_vaccine",3066.16,84.68,1008.24,338.8,113.24,52.22,NA,"opala"
"fitted_response",4074.4,423.48,0,0,203.4,53.76,NA,"opala"
"no_interventions",4124.34,606.46,-49.94,-182.98,202.84,53.76,NA,"opala"
