"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"aa_response",2026.4,580.96,48.42,0,25.56,93.3,1148.42,283.38,31.26,202851.033716237,1454.69463934247,145529.821007228,938.821720767123,155.013265871516,4655.46452358375,0,7719.6,195131.433716237,1262702.76014346,1262702.76014346,"maluku_i"
"aa_response_plus_vaccine",1934.78,555.64,46.62,1008,24.16,87.88,1240.04,308.7,33.06,204419.433716237,1400.60334860274,147098.221007228,992.913011506849,148.148145207596,4449.43197239044,2016,7272,195131.433716237,1342271.29625305,1342271.29625305,"maluku_i"
"fitted_response",3174.82,864.34,79.68,2574.21903624376,27.34,114.46,0,0,0,57321.2127090088,2393.51636010959,0,0,NA,NA,5148.43807248751,9430.2,42742.5746365213,0,0,"maluku_i"
"no_interventions",4993.7,1322.44,202.42,0,0,0,-1818.88,-458.1,-122.74,0,6077.36803024658,-57321.2127090088,-3683.85167013699,NA,NA,0,0,0,-5468456.29249647,-5468456.29249647,"maluku_i"
