"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"aa_response",12406.14,3125.32,114.82,0,203.06,713.16,5158.14,1268.52,367.68,716875.775234664,3455.8682770411,615134.963078703,11034.9736227945,55.7441262757567,1673.0171972332,0,59083.4,657792.375234664,15937325.4711131,15937325.4711131,"opala"
"aa_response_plus_vaccine",11851.96,2977.8,109.52,3472,185.82,680.58,5712.32,1416.04,372.98,721040.975234664,3296.33639671233,619300.163078703,11194.5055031233,55.3217971893369,1660.41118311626,6944,56304.6,657792.375234664,16172458.0916062,16172458.0916062,"opala"
"fitted_response",17564.28,4393.84,482.5,10302.8629755866,88.1,318.7,0,0,0,101740.812155962,14490.8418998356,0,0,NA,NA,20605.7259511733,26377,54758.0862047884,0,0,"opala"
"no_interventions",19580.7,4904.88,725.72,0,0,0,-2016.42,-511.04,-243.22,0,21789.2844440548,-101740.812155962,-7298.44254421918,NA,NA,0,0,0,-10845923.0041728,-10845923.0041728,"opala"
