"hz","E0_median","R0_median","frac_neff_median","obs_size_median","trans_prob_median","E0_q025","R0_q025","frac_neff_q025","obs_size_q025","trans_prob_q025","E0_q975","R0_q975","frac_neff_q975","obs_size_q975","trans_prob_q975"
"alunguli",12.6885129214391,4.98540126714409,0.155925507177836,3.84867756836211,0.01218375191199,10.1199145135591,3.80044067995931,0.124244231192094,2.01762620815077,0.0077005647446086,29.045041271116,6.3269916839704,0.202503158110803,6.68851059759599,0.0165083814593451
"bumbu",35.550588787715,0.831706121213706,0.417245534534393,1.11143999887586,0.000741721137837158,12.3429073993802,0.598946541243723,0.0107555235300505,1.00553411068099,0.000270359172018088,100.842585749224,1.14084475967497,0.945496212444662,1.63609421153776,0.0368009759119048
"goma",21.0075715957087,5.23934640408645,0.0480839264441092,7.29851219904434,0.0412505748737725,10.8952208058282,3.89130646931357,0.0416681448312545,3.80135917326351,0.0297309318672545,57.532426522281,6.34038323805899,0.0546415895126136,14.4423756351427,0.0492775149182034
"kindu",13.9387690145502,3.38557319789465,0.0751585761409089,3.36872216631062,0.0170978468399536,10.142190927468,2.52277371730808,0.0608302285986406,1.84193312973011,0.0106717757729177,33.9712821698004,4.18750092937057,0.096642250684519,5.65501569209276,0.0229366926865866
"kingabwa",97.7791050985076,0.763432095293909,0.784378055993453,1.2300259065126,0.000388291917335642,32.2701242122865,0.501431277142848,0.0174970699069746,1.00961271938719,0.000214723784923314,416.741128604772,1.19605393992376,0.946257768594657,2.12665015548865,0.0244882211599558
"kirotshe",27.4150945756897,1.90083393682911,0.41380523082285,4.41759119338477,0.00168538132521699,12.7067466499055,1.68754768090532,0.0970634057247795,2.73105572808135,0.000715334635437893,50.9163716498302,2.37178713179967,0.934446428218585,7.54965416125965,0.00972544561159939
"kokolo",533.681152683875,0.567183219174002,0.830029470385113,1.09851489281913,0.000263009740372287,156.583613555841,0.409313652211964,0.0114959293224181,1.00278100371037,0.000167846762417145,787.841241632139,1.93546571114613,0.947953315777303,1.59487310515914,0.0492053499252235
"limete",21.6625439649771,1.87367056141116,0.644654283295979,1.06789922521942,0.00108834441648978,10.5484739980398,1.521642175674,0.105557155811962,1.00305661090129,0.000653413200556551,61.5333797582587,2.40052674315543,0.94561028059916,1.36230429870987,0.0081186591902015
"maluku_i",466.514025184374,0.538590073118525,0.912285460030974,1.28143864844472,0.000225030367307885,145.295608676956,0.387672563648069,0.644723077545973,1.01104535796288,0.0001583276607645,777.643519799362,0.816594868605167,0.948168713569833,2.27398658735886,0.000399926786743766
"ngiri_ngiri",13.3427454357882,1.32382250885319,0.55238622533168,1.47728447085381,0.000910272691551579,10.1223797277628,1.07942304097649,0.0394171680042715,1.02450156271849,0.000470083681161577,30.7331713407993,1.62958799382924,0.943918620890481,2.87011059769636,0.0140995017810575
"nyiragongo",93.4936647868148,1.30668166915549,0.133395277823938,7.84324256947329,0.00368147495098608,39.5649411958758,1.11444286191976,0.0485506913152435,4.14453851835096,0.000636273011162816,195.766375803304,1.75271003393564,0.686041699993514,14.8664806202894,0.0133382479337522
"opala",59.3862920583448,4.69550128871627,0.0835178138645945,1.22579568564395,0.0223682089448378,11.3211089036152,1.63111674870976,0.0575261602433474,1.00786841348927,0.000716075364828391,734.205780203005,7.7819882381553,0.925773637449994,2.04601698071083,0.0390578028365786
