"hz","total_cases","n_weeks","acceptance_rate","parameter","median","q025","q975","mean","sd"
"alunguli",1440,40,0.162176580421446,"E0",12.6885129214391,10.1199145135591,29.045041271116,14.6246449508503,8.08877469256504
"alunguli",1440,40,0.162176580421446,"R0",4.98540126714409,3.80044067995931,6.3269916839704,5.00167805223907,0.63168359308534
"alunguli",1440,40,0.162176580421446,"frac_neff",0.155925507177836,0.124244231192094,0.202503158110803,0.157085355923046,0.0198294828679631
"alunguli",1440,40,0.162176580421446,"obs_size",3.84867756836211,2.01762620815077,6.68851059759599,3.97129269673101,1.21344547401414
"alunguli",1440,40,0.162176580421446,"trans_prob",0.01218375191199,0.0077005647446086,0.0165083814593451,0.0122021316345099,0.00221811169566299
"bumbu",185,32,0.235707299724371,"E0",35.550588787715,12.3429073993802,100.842585749224,41.8409332895307,24.09950322241
"bumbu",185,32,0.235707299724371,"R0",0.831706121213706,0.598946541243723,1.14084475967497,0.839739027656032,0.137151201424636
"bumbu",185,32,0.235707299724371,"frac_neff",0.417245534534393,0.0107555235300505,0.945496212444662,0.446483650316037,0.358771077022697
"bumbu",185,32,0.235707299724371,"obs_size",1.11143999887586,1.00553411068099,1.63609421153776,1.16615222109294,0.169868042583053
"bumbu",185,32,0.235707299724371,"trans_prob",0.000741721137837158,0.000270359172018088,0.0368009759119048,0.00561628279028803,0.00993701194045278
"goma",1868,46,0.404907975460123,"E0",21.0075715957087,10.8952208058282,57.532426522281,24.6336560272794,13.1712051253732
"goma",1868,46,0.404907975460123,"R0",5.23934640408645,3.89130646931357,6.34038323805899,5.20424600698809,0.632883459873775
"goma",1868,46,0.404907975460123,"frac_neff",0.0480839264441092,0.0416681448312545,0.0546415895126136,0.0481534896006135,0.00327349120382731
"goma",1868,46,0.404907975460123,"obs_size",7.29851219904434,3.80135917326351,14.4423756351427,7.76983873905597,2.77799883696365
"goma",1868,46,0.404907975460123,"trans_prob",0.0412505748737725,0.0297309318672545,0.0492775149182034,0.0408569590124763,0.00528969866740074
"kindu",1644,40,0.437094336267449,"E0",13.9387690145502,10.142190927468,33.9712821698004,15.9928561439983,7.4396496211161
"kindu",1644,40,0.437094336267449,"R0",3.38557319789465,2.52277371730808,4.18750092937057,3.37697008539634,0.416247535490689
"kindu",1644,40,0.437094336267449,"frac_neff",0.0751585761409089,0.0608302285986406,0.096642250684519,0.0760330048826621,0.00904313879554709
"kindu",1644,40,0.437094336267449,"obs_size",3.36872216631062,1.84193312973011,5.65501569209276,3.47368234699501,0.9934897412333
"kindu",1644,40,0.437094336267449,"trans_prob",0.0170978468399536,0.0106717757729177,0.0229366926865866,0.0170020180160878,0.00302458664811966
"kingabwa",203,27,0.226816039832844,"E0",97.7791050985076,32.2701242122865,416.741128604772,128.096195317216,99.0948786179418
"kingabwa",203,27,0.226816039832844,"R0",0.763432095293909,0.501431277142848,1.19605393992376,0.782625869460145,0.171804486710887
"kingabwa",203,27,0.226816039832844,"frac_neff",0.784378055993453,0.0174970699069746,0.946257768594657,0.63204947508565,0.323207224213294
"kingabwa",203,27,0.226816039832844,"obs_size",1.2300259065126,1.00961271938719,2.12665015548865,1.31346692684248,0.312937582778638
"kingabwa",203,27,0.226816039832844,"trans_prob",0.000388291917335642,0.000214723784923314,0.0244882211599558,0.002415838977764,0.00640385401417018
"kirotshe",2911,46,0.104383391126523,"E0",27.4150945756897,12.7067466499055,50.9163716498302,28.3777593291499,9.91265322409297
"kirotshe",2911,46,0.104383391126523,"R0",1.90083393682911,1.68754768090532,2.37178713179967,1.93476093490548,0.172305235059819
"kirotshe",2911,46,0.104383391126523,"frac_neff",0.41380523082285,0.0970634057247795,0.934446428218585,0.462735592224863,0.27185585524026
"kirotshe",2911,46,0.104383391126523,"obs_size",4.41759119338477,2.73105572808135,7.54965416125965,4.65261524750348,1.30080849873238
"kirotshe",2911,46,0.104383391126523,"trans_prob",0.00168538132521699,0.000715334635437893,0.00972544561159939,0.00262530895935895,0.002278037228834
"kokolo",456,30,0.306481728460923,"E0",533.681152683875,156.583613555841,787.841241632139,519.145419942023,182.76083471051
"kokolo",456,30,0.306481728460923,"R0",0.567183219174002,0.409313652211964,1.93546571114613,0.859974281408054,0.501597060683581
"kokolo",456,30,0.306481728460923,"frac_neff",0.830029470385113,0.0114959293224181,0.947953315777303,0.519520757807208,0.428291606833526
