"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"aa_response",5104.24,1267.72,43.88,0,81.1,288.48,17258.84,4173.46,449.14,7173900.31215992,1320.97073841096,4492014.82172762,13489.247324274,333.007076951151,10001.3688866002,0,23889.4,7150010.91215992,15741856.1646833,15741856.1646833,"limete"
"aa_response_plus_vaccine",4537.66,1122.16,38.76,36288,70.82,259.56,17825.42,4319.02,454.26,7244059.91215992,1166.84592482192,4562174.42172762,13643.372137863,334.387596821954,10043.0907888161,72576,21473,7150010.91215992,15902883.7850669,15902883.7850669,"limete"
"fitted_response",22363.08,5441.18,493.02,182140.509190711,138.66,515.18,0,0,0,2681885.4904323,14810.2180626849,0,0,NA,NA,364281.018381421,42601,2275003.47205088,0,0,"limete"
"no_interventions",45122.24,11125.54,1589.44,0,0,0,-22759.16,-5684.36,-1096.42,0,47723.312905863,-2681885.4904323,-32913.0948431781,NA,NA,0,0,0,-46687756.7743348,-46687756.7743348,"limete"
