"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"fitted_response",3124.78,792.74,71.14,0,23.34,90.38,0,0,0,2531552.85017202,2137.05820778082,0,0,NA,NA,0,7463.8,2524089.05017202,0,0,"kingabwa"
"no_interventions",8452.1,2096.58,302.76,0,0,0,-5327.32,-1303.84,-231.62,0,9090.35917610959,-2531552.85017202,-6953.30096832877,NA,NA,0,0,0,-7898398.60232114,-7898398.60232114,"kingabwa"
