"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"fitted_response",1649.38,157.26,0,0,87.18,391.16,17.5,"ngiri_ngiri"
"no_interventions",3876.38,547.02,-2227,-389.76,119.3,310.8,12.25,"ngiri_ngiri"
