"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"aa_response",2526.04,756.24,63.8,0,33.32,120.56,2566.92,631.1,84.38,11809258.9901834,1916.72660778082,7782506.42555352,2533.67541808219,3071.62723765316,92231.6476126276,0,9978,11799280.9901834,-3981993.29843023,-3981993.29843023,"kokolo"
"aa_response_plus_vaccine",2422.26,726.86,61.08,57568,31.82,114.8,2670.7,660.48,87.1,11923919.1901834,1835.02067879452,7897166.62555352,2615.38134706849,3019.5086595709,90667.81430027,115136,9502.2,11799280.9901834,-3974094.60495078,-3974094.60495078,"kokolo"
"fitted_response",5092.96,1387.34,148.18,291707.229147988,39.1,144.78,0,0,0,4026752.56462985,4450.40202586301,0,0,NA,NA,583414.458295976,11973.4,3431364.70633387,0,0,"kokolo"
"no_interventions",13027.66,3344.42,496.84,0,0,0,-7934.7,-1957.08,-348.66,0,14917.258237589,-4026752.56462985,-10466.856211726,NA,NA,0,0,0,-11673531.7529592,-11673531.7529592,"kokolo"
