"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"fitted_response",3512.94,863.72,77.82,462155.596051291,22.82,88.08,0,0,0,5084705.85308399,2337.71412471233,0,0,NA,NA,924311.192102582,7274.6,4153120.06098141,0,0,"bumbu"
"no_interventions",21718.14,5299.54,739.82,0,0,0,-18205.2,-4435.82,-662,0,22213.7073825753,-5084705.85308399,-19875.993257863,NA,NA,0,0,0,-24729284.0337105,-24729284.0337105,"bumbu"
