"scenario","total_cases","total_deaths","cases_averted","deaths_averted","peak_incidence","time_peak","time_to_control","hz"
"aa_response",580.96,48.42,283.38,31.26,88.06,7.7,187.04,"maluku_i"
"aa_response_plus_vaccine",555.64,46.62,308.7,33.06,87.06,7.7,177.24,"maluku_i"
"fitted_response",864.34,79.68,0,0,89.6,9.1,207.468085106383,"maluku_i"
"no_interventions",1322.44,202.42,-458.1,-122.74,89.52,7.42,NA,"maluku_i"
