"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"aa_response",16320.84,4054.9,108.74,0,277.72,1001.54,8964.32,2238.34,610.7,840902.679057565,3276.81985863014,756229.752982517,18329.0702888767,41.2584894413028,1238.29990663586,0,82900.4,758002.279057565,26737375.6803326,26737375.6803326,"goma"
"aa_response_plus_vaccine",15986.98,3984.88,104.9,2800,272.88,985.9,9298.18,2308.36,614.54,845203.079057565,3161.3674029589,760530.152982518,18444.5227445479,41.2333874676874,1237.56004976489,5600,81600.8,758002.279057565,26906253.9638394,26906253.9638394,"goma"
"fitted_response",25285.16,6293.24,719.44,0,114.12,408.8,0,0,0,84672.9260750471,21605.8901475068,0,0,NA,NA,0,33845.2,50827.7260750471,0,0,"goma"
"no_interventions",25521.32,6347.34,935.54,0,0,0,-236.16,-54.1000000000004,-216.1,0,28089.0852039452,-84672.9260750471,-6483.19505643836,NA,NA,0,0,0,-9640119.65858249,-9640119.65858249,"goma"
