"scenario","infections","cases_symptomatic","deaths","doses","orc_treated","ctc_treated","infections_averted","cases_averted","deaths_averted","cost","dalys","cost_diff","dalys_averted","icer_cost_per_daly_averted","icer_cost_per_death_averted","mean_cost_vax","mean_cost_care","mean_cost_wash","nmb","inmb","hz"
"aa_response",9316.08,2317.44,108.94,0,132.54,473.32,53864.7,13232.46,1752.42,10251162.0818583,3276.55548230137,8518185.50522781,52620.3093626301,161.880186726482,4860.81276476405,0,39191,10211971.0818583,70412278.5387174,70412278.5387174,"kirotshe"
"aa_response_plus_vaccine",8623.1,2154.02,102.94,42672,118.88,440.6,54557.68,13395.88,1758.42,10333751.8818583,3095.96627484932,8600775.30522781,52800.8985700822,162.890699555275,4891.19510994405,85344,36436.8,10211971.0818583,70600572.5498955,70600572.5498955,"kirotshe"
"fitted_response",63180.78,15549.9,1861.36,0,199.58,722.46,0,0,0,1732976.57663049,55896.8648449315,0,0,NA,NA,0,59792.6,1673183.97663049,0,0,"kirotshe"
"no_interventions",82986.04,20499.28,2973.46,0,0,0,-19805.26,-4949.38,-1112.1,0,89277.7097328219,-1732976.57663049,-33380.8448878904,NA,NA,0,0,0,-48338290.7552051,-48338290.7552051,"kirotshe"
