"hz","n_particles","var_loglik"
"ngiri_ngiri",100,0.0852882707192899
"ngiri_ngiri",200,0.0512279245417104
"ngiri_ngiri",400,0.0433411231120291
"ngiri_ngiri",800,0.0150969329652236
